cluster_0_gene_name	cluster_0_score	cluster_0_pval	cluster_0_pval_adj	cluster_0_log2foldchange	cluster_1_gene_name	cluster_1_score	cluster_1_pval	cluster_1_pval_adj	cluster_1_log2foldchange	cluster_2_gene_name	cluster_2_score	cluster_2_pval	cluster_2_pval_adj	cluster_2_log2foldchange	cluster_3_gene_name	cluster_3_score	cluster_3_pval	cluster_3_pval_adj	cluster_3_log2foldchange	cluster_4_gene_name	cluster_4_score	cluster_4_pval	cluster_4_pval_adj	cluster_4_log2foldchange	cluster_5_gene_name	cluster_5_score	cluster_5_pval	cluster_5_pval_adj	cluster_5_log2foldchange	cluster_6_gene_name	cluster_6_score	cluster_6_pval	cluster_6_pval_adj	cluster_6_log2foldchange	cluster_7_gene_name	cluster_7_score	cluster_7_pval	cluster_7_pval_adj	cluster_7_log2foldchange	cluster_8_gene_name	cluster_8_score	cluster_8_pval	cluster_8_pval_adj	cluster_8_log2foldchange	cluster_9_gene_name	cluster_9_score	cluster_9_pval	cluster_9_pval_adj	cluster_9_log2foldchange
tp53_1	17.64865	1.0421894024040305e-69	4.213470896880553e-68	0.41870505	pcif1	10.948017	6.791832101802041e-28	3.2243193837835223e-26	0.36351794											si:dkeyp-94b4.1	5.908891	3.4441803727328027e-09	1.1039875348199543e-07	2.526811						thoc2	3.955025	7.652667003401867e-05	0.001684124241503698	0.2861666	zbtb7a	17.40886	7.067841721312884e-68	2.3876350483346193e-66	5.007839										
tle3b	17.62876	1.4818522246149772e-69	5.971721521253862e-68	0.4724923	si:dkeyp-20e4.8	10.946949	6.872362477886912e-28	3.2563825684444866e-26	0.2796752											LOC108179061	5.9074802	3.4737968829799487e-09	1.112058654773632e-07	0.33998856						opn6a	3.9473095	7.90343603679592e-05	0.0017347419238032096	1.9761598	si:ch211-151h10.2	17.407896	7.187639614801553e-68	2.424836804638166e-66	8.697604										
map1lc3b	17.628094	1.4993896723134017e-69	6.0326968741906465e-68	0.52839416	rp2	10.946406	6.91362621085282e-28	3.269753860400695e-26	0.35827428											golga4	5.8683114	4.402555029989263e-09	1.40400056465281e-07	0.76388454						lbr	3.9442387	8.005391487865958e-05	0.0017555830536732117	0.25677705	pho	17.39234	9.430400847904389e-68	3.172918491994247e-66	1.3672342										
nol12	17.60952	2.082006138584633e-69	8.363391966308078e-68	0.44693005	arhgap19	10.937756	7.605970779380351e-28	3.584254271670437e-26	0.3609191											scube1	5.865359	4.481627744975541e-09	1.4255898611111283e-07	1.8716174						dad1	3.9385011	8.199217672362001e-05	0.0017949483858115802	0.19590947	pcdh1b_1	17.364758	1.525424428491178e-67	5.11864641560373e-66	1.3349179										
myclb	17.608524	2.1189963005997153e-69	8.498361803333194e-68	1.4186693	lin7c	10.93774	7.6072100555679905e-28	3.584254271670437e-26	0.32886723											ankrd31	5.851029	4.8854178812581044e-09	1.5500998052103246e-07	1.6891435						stk16	3.9306765	8.470718283351454e-05	0.0018479288467405355	0.5435275	eml2	17.362743	1.5799138924602215e-67	5.29440128722031e-66	4.991257										
kif15	17.606441	2.198368534505567e-69	8.802604742159194e-68	0.43437657	fam3c	10.937371	7.638257132699554e-28	3.592130455689438e-26	0.19859712											yaf2	5.827913	5.612492707258484e-09	1.7740572786903046e-07	0.39097247						srpr	3.9143276	9.065646736063287e-05	0.0019623445689651324	0.39846945	ptgdsb.1	17.35888	1.689883686171066e-67	5.655357073106e-66	2.4280515										
nol11	17.594234	2.7272030822912276e-69	1.0902722880496318e-67	0.44831362	anln	10.933505	7.970916219199024e-28	3.737863630860483e-26	0.3124646											rap2c	5.8131804	6.129698642208607e-09	1.9326669957937226e-07	0.46552828						LOC110438083	3.912	9.153495090924361e-05	0.0019788395022614274	3.804319	slc9a1a	17.35811	1.712652682269949e-67	5.723913617837139e-66	3.4514465										
ano9a	17.589535	2.9629541400032065e-69	1.1826338928872671e-67	0.5223574	mesdc2	10.933425	7.97796633890672e-28	3.737863630860483e-26	0.36018774											crebbpb	5.8065557	6.377107729254757e-09	2.0081480193655746e-07	0.64972854						zgc:113921	3.9118905	9.157639123207754e-05	0.0019788395022614274	0.611692	cers5	17.34734	2.0659600462914225e-67	6.89551990949944e-66	3.9199054										
znf1065	17.585558	3.178353512638018e-69	1.266591560378133e-67	0.80464685	lsm8	10.926875	8.575033424424637e-28	4.0101079816535067e-26	0.27124348											fn1a	5.795599	6.807773134717565e-09	2.1383914961758207e-07	1.0329604						gmnn	3.9077816	9.314746916719401e-05	0.0020093239777494707	0.19334595	ist1	17.334566	2.5801077943854433e-67	8.600130581657649e-66	3.3948052										
adi1	17.571543	4.069559863744802e-69	1.6191680562639238e-67	0.4601178	incenp	10.868835	1.622586089366631e-27	7.573881362395527e-26	0.29893345											sec24c	5.7878485	7.12936721598654e-09	2.2366047388725733e-07	0.7694063						cd99l2	3.9072678	9.334563419327692e-05	0.002011867297238761	0.4955202	dnm2a	17.302843	4.4774078087970114e-67	1.484533123482882e-65	4.4333057										
psma8	17.56872	4.2771719179156e-69	1.6990743469805458e-67	0.46138805	brd9	10.862913	1.7313599343967198e-27	8.066592586540554e-26	0.33684832											sfpq	5.77998	7.470935227056377e-09	2.3408307800174392e-07	0.17712697						spna2	3.8961976	9.771473411137743e-05	0.0020970184291402285	0.25824517	vmp1	17.274387	7.334744261010833e-67	2.4223017081224975e-65	1.8387008										
eva1ba	17.551891	5.753209558993764e-69	2.281803019078128e-67	0.52575177	tbl1xr1a	10.862094	1.746959005936086e-27	8.124169655434868e-26	0.30897453											slc6a16a	5.764633	8.183574440769865e-09	2.5513616533872816e-07	1.417013						eve1	3.8959079	9.783158033697024e-05	0.0020977300194409717	0.4570121	arid3a	17.262827	8.961572159421502e-67	2.9549714283988812e-65	3.9599733										
hspd1	17.551044	5.839703897796268e-69	2.3124489400025477e-67	0.42741364	zbtb8b	10.859962	1.788221526604234e-27	8.300659404789209e-26	0.41193202											ddx3b	5.7595005	8.436317215905198e-09	2.6236318527776634e-07	0.22100724						LOC103908832	3.8672154	0.00011008519066641525	0.0023384706688511564	0.96642053	id4	17.262764	8.971248930868701e-67	2.9549714283988812e-65	8.335889										
cdc40	17.528637	8.662105849667365e-69	3.42467421494893e-67	0.42638153	cdkn1a	10.85753	1.836508726231315e-27	8.509043943015554e-26	0.5165527											pop7	5.744067	9.242904322444214e-09	2.867359402801815e-07	0.43299684						kmt2ba	3.8541942	0.00011611139635196418	0.002451936192888234	0.31218934	klf2b	17.260021	9.407497329168712e-67	3.0945974810097496e-65	2.8281407										
jun	17.511133	1.1782541778580696e-68	4.651042397195335e-67	0.5422987	si:ch211-265m20.8	10.847468	2.0502566702887776e-27	9.464407679089964e-26	0.79680634											tvp23b	5.7244873	1.0374653432374756e-08	3.210506949825995e-07	0.6561462						rpn1	3.8508556	0.00011770588637694268	0.002483514939330341	0.3286637	tmem79b	17.236462	1.414317398509414e-66	4.640219883643582e-65	3.2573192										
